000000	0	0
000001	0	1
000010	0	2
000011	6	3
000100	0	4
000101	0	5
000110	12	6
000111	14	7
001000	0	8
001001	12	9
001010	36	10
001011	38	11
001100	6	12
001101	14	13
001110	38	14
001111	46	15
010000	0	16
010001	12	17
010010	0	18
010011	14	19
010100	36	20
010101	74	21
010110	74	22
010111	78	23
011000	12	24
011001	98	25
011010	74	26
011011	102	27
011100	38	28
011101	102	29
011110	108	30
011111	110	31
100000	0	32
100001	36	33
100010	12	34
100011	38	35
100100	12	36
100101	74	37
100110	98	38
100111	102	39
101000	0	40
101001	74	41
101010	74	42
101011	108	43
101100	14	44
101101	78	45
101110	102	46
101111	110	47
110000	6	48
110001	38	49
110010	14	50
110011	46	51
110100	38	52
110101	108	53
110110	102	54
110111	110	55
111000	14	56
111001	102	57
111010	78	58
111011	110	59
111100	46	60
111101	110	61
111110	110	62
111111	238	63
