000000000000	0	0
000000000001	0	1
000000000010	0	2
000000000011	0	3
000000000100	0	4
000000000101	0	5
000000000110	0	6
000000000111	14	7
000000001000	0	8
000000001001	0	9
000000001010	0	10
000000001011	0	11
000000001100	0	12
000000001101	0	13
000000001110	28	14
000000001111	30	15
000000010000	0	16
000000010001	0	17
000000010010	0	18
000000010011	0	19
000000010100	0	20
000000010101	74	21
000000010110	76	22
000000010111	78	23
000000011000	0	24
000000011001	0	25
000000011010	0	26
000000011011	0	27
000000011100	74	28
000000011101	90	29
000000011110	92	30
000000011111	94	31
000000100000	0	32
000000100001	0	33
000000100010	0	34
000000100011	74	35
000000100100	0	36
000000100101	0	37
000000100110	76	38
000000100111	78	39
000000101000	0	40
000000101001	0	41
000000101010	74	42
000000101011	90	43
000000101100	0	44
000000101101	0	45
000000101110	92	46
000000101111	94	47
000000110000	0	48
000000110001	28	49
000000110010	76	50
000000110011	92	51
000000110100	76	52
000000110101	92	53
000000110110	204	54
000000110111	206	55
000000111000	14	56
000000111001	30	57
000000111010	78	58
000000111011	94	59
000000111100	78	60
000000111101	94	61
000000111110	206	62
000000111111	222	63
000001000000	0	64
000001000001	0	65
000001000010	0	66
000001000011	0	67
000001000100	0	68
000001000101	28	69
000001000110	0	70
000001000111	30	71
000001001000	0	72
000001001001	0	73
000001001010	0	74
000001001011	0	75
000001001100	280	76
000001001101	282	77
000001001110	282	78
000001001111	286	79
000001010000	0	80
000001010001	0	81
000001010010	0	82
000001010011	0	83
000001010100	328	84
000001010101	330	85
000001010110	332	86
000001010111	334	87
000001011000	0	88
000001011001	0	89
000001011010	0	90
000001011011	0	91
000001011100	344	92
000001011101	346	93
000001011110	348	94
000001011111	350	95
000001100000	0	96
000001100001	328	97
000001100010	0	98
000001100011	390	99
000001100100	392	100
000001100101	394	101
000001100110	396	102
000001100111	398	103
000001101000	76	104
000001101001	332	105
000001101010	404	106
000001101011	406	107
000001101100	408	108
000001101101	410	109
000001101110	412	110
000001101111	414	111
000001110000	74	112
000001110001	330	113
000001110010	404	114
000001110011	454	115
